Time;Video4_EmbryoA;Video6_EmbryoB;Video9_EmbryoC;Video10_EmbryoD;Video11_EmbryoE;Video17_EmbryoF;Video18_EmbryoG;Video19_EmbryoH;Video20_EmbryoI;Video221_EmbryoJ1;Video231_EmbryoK1;Video15_EmbryoL;Video16_EmbryoM;Video222_EmbryoJ2;Video232_EmbryoK2
1.05;0.236715345;0.127219555;0.202299314;0.136767269;0.150925783;0.218134373;0.250212957;0.206098488;0.118900725;0.16145793;0.230965806;0.131324073;0.129733572;0.106115957;0.101195102
1.1;0.249510769;0.121539927;0.207226245;0.130602189;0.150964275;0.211718656;0.38494301;0.210749882;0.117335398;0.152886532;0.230965806;0.132150108;0.137362846;0.108085582;0.099135657
1.15;0.236715345;0.121047385;0.208528547;0.136767269;0.154781364;0.205302939;0.359280143;0.215600164;0.119285642;0.151404502;0.230965806;0.135469637;0.135192582;0.110542801;0.10019425
1.2;0.249510769;0.126957892;0.199483007;0.139519423;0.150964275;0.224550089;0.36569586;0.218269103;0.124045777;0.158987879;0.230965806;0.130451863;0.134566643;0.110568464;0.099193398
1.25;0.249510769;0.127219555;0.2158163;0.24195855;0.149520838;0.218134373;0.359280143;0.218089463;0.124956746;0.154047777;0.230965806;0.131283028;0.13201158;0.114636028;0.101195102
1.3;0.249510769;0.129595045;0.214449846;0.24103475;0.27241828;0.218134373;0.36569586;0.220367042;0.124045777;0.163632858;0.231029963;0.132180892;0.138214534;0.231819097;0.101073203
1.35;0.249510769;0.132432293;0.222237991;0.234003608;0.267472102;0.218134373;0.36569586;0.224113821;0.120998521;0.252535446;0.230965806;0.249334114;0.137824605;0.238985452;0.101073203
1.4;0.249574746;0.235127349;0.229204981;0.225266002;0.267472102;0.230965806;0.38494301;0.227976082;0.129024031;0.260478104;0.230965806;0.249118627;0.138040092;0.244971316;0.097056964
1.45;0.255908481;0.234429581;0.23371492;0.240412468;0.267568332;0.224550089;0.38494301;0.223773788;0.123089901;0.252926805;0.224550089;0.247497342;0.264587532;0.239043194;0.098025738
1.5;0.255908481;0.233418843;0.239302626;0.240688325;0.277370873;0.24379724;0.378527293;0.228880698;0.238564869;0.255396856;0.230965806;0.246666177;0.264372044;0.243162084;0.10001461
